Postcode,Number of individuals lodging an income tax return,Average taxable income or loss,Average salary or wages,Average net rent,Median net rent,Average total income or loss,Count net tax,Average net tax,Median net tax,Average super total accounts balance,Median super total accounts balance
5106,63,46963,47738,857,170,48328,35,15118,12215,132181,65508
5107,9942,50323,52161,1544,1129,52205,7504,10675,7811,74551,30548
5108,22407,49438,51761,2183,1020,51261,16994,10152,7683,77191,32387
5109,11254,54076,55040,1951,1056,56062,8645,12234,8622,108331,52738
5110,4893,53147,54091,2959,1512,55089,3742,11964,8345,82455,37265
5111,233,73365,72880,-193,-825,76120,228,13849,12236,101765,32439
5112,9299,48015,50399,1591,1031,49713,6735,10329,7206,82978,31228
5113,8405,43469,45102,1843,1173,44990,5850,8480,6164,54170,19879
5114,20758,55687,56965,1109,340,57946,16437,12389,9114,99262,47015
5115,7680,53267,54536,1483,956,55388,6093,11110,9018,67636,32614
5116,6132,58548,59897,2092,723,60775,4797,13975,10135,109895,53513
5117,2863,67068,66958,782,143,70132,2388,16702,12172,141473,66503
5118,11797,61453,62827,2013,891,64105,9245,15407,10840,155634,77316
5120,1899,61505,59747,5106,2529,64573,1506,15203,9952,102005,49881
5121,1363,54788,58457,5127,2969,57106,1073,12072,9126,96813,41416
5125,12409,67602,67166,623,292,70195,9921,17967,12294,179511,99538
5126,4571,60420,62966,1284,766,62828,3579,14728,11221,147107,82934
5127,4955,60991,63550,1071,283,63479,3894,15075,11044,169341,91827
5131,665,71513,68945,1832,1193,74885,518,21429,12019,234574,121457
5132,308,75101,69412,2760,2531,78312,226,25701,11594,292862,122642
5133,272,76358,76680,1403,683,80043,202,25229,13526,244121,135735
5134,283,68825,69665,6020,3887,71677,204,21432,14663,208309,109386
5136,336,73919,68212,1852,1546,78225,248,23827,16209,251674,113236
5137,367,85791,73984,2436,3719,91138,278,29627,13342,283945,115681
5138,204,65348,65024,2574,1310,68002,152,18917,10637,216611,95439
5139,163,70590,65030,1075,0,73921,122,21339,12954,254058,92359
5140,305,77982,76898,2101,815,80623,238,23696,17769,191521,107121
5141,462,78854,74755,1038,1736,82575,354,24941,13609,250092,128233
5142,417,76380,68406,3419,2233,80052,328,22659,11837,245229,128105
5144,243,85626,76632,4925,3242,90228,197,26821,13040,265779,141168
5151,279,94196,74910,4680,3359,99447,219,32927,14888,241226,106457
5152,4295,96930,86733,2264,1171,101623,3290,35005,19542,309900,142355
5153,4314,77533,68007,2529,1366,81098,3241,26100,11943,230997,103849
5154,2275,95048,82392,1913,755,99374,1725,34832,18075,333931,140054
5155,2514,69518,68971,2091,1247,72430,1959,19628,13210,200117,99062
5156,641,73304,75354,2078,2357,76197,504,21194,12594,196208,106499
5157,2041,67700,65051,4259,2225,71351,1520,20247,11159,225127,111452
5158,15873,61520,63913,1493,925,64014,12582,15138,11074,148391,82799
5159,20968,62155,63482,2200,1221,64623,16137,16187,11046,167381,89532
5160,117,69053,67808,7999,2776,71880,90,19791,10643,216652,70819
5161,5907,54715,57402,1632,920,56733,4622,12113,8956,114441,67541
5162,20269,53587,56046,1033,475,55653,15664,11838,8711,111837,61607
5163,7870,54009,55637,1952,1089,56090,5983,12694,8037,103597,51670
5164,2281,44968,47939,969,766,46485,1594,9269,6573,72944,35371
5165,3418,53410,55588,2839,1870,55831,2588,12073,8192,106456,46255
5166,1005,52204,51438,1805,1640,54358,753,11882,8161,105523,58717
5167,3877,59567,60352,2752,1689,62167,3041,14388,9513,144319,74778
5168,3191,54655,57196,1118,448,56711,2467,12220,9269,104099,56295
5169,12082,57794,59930,982,475,60152,9527,13486,9774,109387,59363
5170,759,54077,55962,2169,1234,56528,562,13163,9006,134201,62171
5171,3914,61977,62952,3028,1857,65090,2902,17279,10179,206499,98740
5172,2782,62397,61546,3721,2111,65885,2007,18391,10529,209473,97081
5173,7486,53819,54943,2638,1475,56321,5515,12979,8403,114828,57512
5174,1775,56638,58450,1748,824,58902,1355,13720,9433,118931,59029
5201,1499,60266,64015,2983,1358,63517,1146,15859,10416,171512,78672
5202,574,54287,56267,3346,1698,56690,411,13838,9068,129189,65957
5203,740,48574,50657,5183,2516,51492,483,12698,6736,158584,68008
5204,1805,48286,53101,2965,2033,51600,1135,13436,7098,195311,92052
5210,1235,57773,58062,4036,2135,60225,909,14861,9765,132064,74627
5211,8939,50077,50945,4049,2132,52855,5744,13849,6888,191357,80519
5212,1201,52939,52499,4160,2710,56257,782,15431,7591,227087,95017
5213,788,76287,55403,4004,3232,79165,557,28526,8601,224139,95416
5214,4782,48402,50697,4305,2781,50716,2964,13393,7006,192357,89493
5220,218,46583,40215,3701,2223,51177,148,12184,6534,113660,50646
5221,205,44570,44725,4953,3463,47966,120,11982,7544,156945,70846
5222,460,61041,46358,4889,4518,65114,333,17610,8201,176605,72877
5223,2290,48893,47025,4717,2472,52391,1618,11565,7095,141092,58626
5231,728,78036,66905,2782,1371,80868,586,24160,13080,189042,110804
5232,288,66922,69700,4716,3559,69905,208,20681,13065,212473,121679
5233,944,65665,61006,4151,2825,69620,703,19366,11319,181053,90915
5234,880,60041,62994,3755,1971,62894,657,16192,11213,181114,88036
5235,1530,57538,59851,3341,1539,60850,1097,16280,9425,157348,81123
5236,177,52805,59164,6575,2923,55374,123,14198,7041,103515,50497
5237,210,49510,48759,-701,-81,54022,148,11357,8886,95124,46733
5238,2274,45267,48535,3470,1775,48256,1436,11789,7531,136527,71525
5240,372,55610,60977,3914,2549,59290,255,16452,10063,205229,93025
5241,1592,59502,60177,2717,1614,62271,1218,15182,10336,139280,77969
5242,1041,70969,67498,1670,924,74233,797,21211,13020,227905,104736
5243,617,80584,71774,4450,2346,84842,479,26166,12121,286820,106393
5244,2783,64037,64425,3474,1562,67127,2096,18666,10596,197145,89125
5245,2014,71697,69566,3238,2346,75094,1463,23281,13005,250080,118026
5250,2390,70745,67710,3973,1409,73860,1872,20229,12762,191400,102988
5251,12318,63478,63987,2334,461,66005,9648,16505,10600,136673,64032
5252,4206,60499,61758,2327,1062,63032,3318,14871,10070,129933,74851
5253,10306,48999,50751,2426,1502,51616,7484,10986,7467,111668,45447
5254,1484,51833,52763,3351,1370,54589,1040,13297,8141,121464,66842
5255,6079,57526,57663,2831,1317,60239,4436,15363,8931,159063,76416
5256,752,47190,50121,2186,1503,49953,505,11351,7133,127384,66171
5259,588,45064,49244,695,0,47723,397,10931,7114,128770,50600
5260,1003,52740,47224,3744,2423,55142,686,14773,6650,101843,46094
5261,241,56877,45115,8461,2294,64443,161,17019,10751,178020,61982
5262,288,73034,50039,2722,1630,79768,220,23448,10204,167229,59145
5263,137,65964,56038,2514,332,70755,107,17491,9795,374153,103798
5264,781,50969,48133,5115,2829,54440,527,13548,8249,161105,56638
5265,213,56533,45634,5797,3531,61715,149,15817,8125,131857,54749
5266,405,64716,52883,4633,2948,70460,297,19681,8045,157202,51826
5267,1295,54076,50518,2038,1571,60732,939,14206,8293,149625,62177
5268,2621,54851,52700,3173,2269,59564,1969,13285,8608,162164,44806
5269,148,53258,39796,7097,6794,60120,103,14722,8255,75204,29332
5270,419,56236,53382,1817,1118,62358,306,14260,9218,176910,66815
5271,5008,59423,53543,2667,1594,63434,3724,16360,9123,157020,55097
5272,553,74382,52367,696,2204,80318,421,23403,10329,191470,71521
5273,78,68189,51630,2959,2635,73976,54,23518,11335,247273,78701
5275,1448,72688,49117,3220,2110,78244,1053,25141,9282,182093,70755
5276,954,64360,49715,6679,2806,68506,674,20421,9769,235354,81033
5277,1743,60552,52251,2256,1664,64159,1317,16670,9097,149110,65624
5278,340,64019,50268,3380,1689,68595,240,21143,9464,195362,65998
5279,254,52674,49309,4967,1016,55974,179,13602,8121,119474,46544
5280,4331,56371,51774,2113,1148,59390,3185,14594,8570,184819,69636
5290,15419,57399,54788,3346,1704,59756,11772,14240,8872,140087,60014
5291,5560,64150,58333,2370,1262,67694,4321,17318,10556,156493,77469
5301,317,51298,46544,4433,2219,57359,207,15591,9373,108464,54666
5302,570,47834,50604,2104,2256,52351,399,12604,9207,142425,50008
5303,140,87401,47664,-614,-614,89179,81,49335,9452,53788,13031
5304,538,52736,51825,4774,2994,57056,388,13908,8821,120684,49501
5306,57,45180,51183,994,2084,49200,37,10035,5915,128824,53161
5307,319,38797,44499,2471,1977,44230,175,10012,6018,98966,46397
5308,65,21049,36921,1800,2478,24093,37,5556,3555,103935,55728
5309,51,30788,43932,-1285,-1285,34909,38,7126,4220,108861,54429
5311,186,42024,38718,2567,608,45759,124,9442,4457,81480,30080
5320,310,47887,50433,3040,824,50538,212,11333,8281,144900,77813
5321,169,42915,43396,2004,325,46056,109,8973,7307,118432,77265
5322,482,52971,48297,2437,2920,55300,371,11743,7448,169194,60187
5330,1977,51579,49605,3320,2419,54572,1435,12299,7307,151808,56693
5331,178,49526,47841,2170,1504,52327,123,11766,7566,138437,83780
5332,214,45168,50628,4304,3637,47802,148,10630,7566,128128,70568
5333,3521,51860,53015,2461,1769,55105,2596,12279,8695,138956,71827
5340,823,51790,53769,5045,3016,55631,613,12523,8186,143727,63226
5341,4606,51326,50732,2931,2194,54684,3469,11613,7243,112817,41339
5342,665,52059,53025,2465,1418,54626,508,11210,8088,125668,75455
5343,2877,53959,53348,2752,1952,56414,2141,12913,7817,121916,44098
5344,506,47584,48062,2338,2422,49480,363,10254,6920,110499,53919
5345,1976,50597,52326,3604,2311,52830,1453,11162,7711,121232,57794
5346,221,49036,49539,3475,768,51304,166,10010,8638,141867,65924
5350,347,64803,67322,-312,271,68048,267,17853,11382,159646,90906
5351,3795,63551,62772,1654,1014,66620,2987,16380,11543,162319,88594
5352,3302,64241,64596,2490,1429,67816,2485,18053,11549,212948,104229
5353,2409,57395,56933,2929,2485,60545,1689,16867,9878,171305,83942
5354,185,41721,45960,4593,3860,43764,122,8750,6416,140210,64388
5355,5040,58674,59205,2012,791,61283,3846,14806,10433,162666,87341
5356,478,50444,56669,1471,1251,53196,347,12355,8288,115633,67840
5357,225,43375,46174,3286,1483,44882,143,10507,6990,133125,60772
5360,783,60698,60022,570,226,63455,589,15659,9741,171507,96044
5371,928,60173,58622,2063,443,62965,730,15001,9503,136999,71838
5372,1533,59717,60156,742,322,62973,1235,13676,10213,122245,68942
5373,1955,57498,56436,3511,2148,61052,1468,14124,9503,141653,73539
5374,843,54010,49423,3773,2991,57764,553,16922,8434,105266,52359
5381,189,39723,49131,10597,9230,42822,109,9528,6678,96780,51211
5400,634,60185,59331,689,751,64280,489,15118,10705,127904,65469
5401,474,55178,55688,4999,2858,58210,353,13404,9637,118175,60133
5410,183,56916,55419,58,804,59554,129,15376,10006,138515,53365
5411,193,56622,47867,8513,3083,60058,136,14522,8811,140179,58578
5412,670,55198,53021,2162,1789,58803,470,14208,9013,165817,74978
5413,482,49244,45923,4784,2364,52142,328,12195,6878,130058,62208
5414,91,44441,45220,4013,3460,47667,58,10013,8720,91629,47166
5415,165,51001,52040,2503,3160,55142,108,12977,10196,201534,105115
5416,152,46312,47062,97,-676,48481,97,11868,8010,127373,63563
5417,839,51766,49240,4274,1779,55172,579,13546,7285,144873,62585
5419,129,57935,43543,247,626,67057,84,19680,8431,135663,51266
5420,52,68848,43489,27222,27222,80058,44,15886,9906,155632,54193
5421,51,54640,38623,4012,3232,56398,32,17157,7048,61850,31637
5422,670,44446,43090,3521,3404,46411,433,9802,5979,84787,35818
5431,505,48247,48507,-221,28,52760,340,11996,7445,151305,76243
5432,96,78531,42004,4592,3161,84113,65,26485,11173,244718,127590
5433,697,57188,59559,2704,2275,59885,502,15707,10511,171449,78757
5434,246,55922,49462,4307,3458,59356,182,13579,9171,156514,55259
5440,127,53575,53496,1142,770,57829,91,15311,6107,144181,64640
5451,462,58323,57128,2476,498,62530,320,16146,9930,216390,94552
5452,317,56934,57860,2649,814,59645,227,15434,9666,210936,92001
5453,3178,62846,58275,3486,1951,66875,2384,17244,9812,182735,85651
5454,219,49545,47552,2244,2480,59096,158,11322,8216,152738,66232
5460,422,57540,52265,2640,1292,61729,303,15034,9797,139766,56467
5461,1447,52576,51134,3012,1241,56588,1025,12836,8336,156583,63114
5462,362,51447,47974,1235,3192,54389,251,12963,8481,110827,50560
5464,322,57711,48104,2652,1156,66034,229,15623,9171,151519,71997
5470,77,51195,57403,8609,5188,58620,52,13155,8849,151293,72519
5471,62,55734,41025,8349,4072,72257,41,14797,10785,128141,60773
5472,95,53790,43660,8764,6612,57002,65,12706,8488,134716,56025
5473,393,54866,49367,1255,528,58114,268,14503,10002,148416,43913
5480,473,55076,58251,1362,916,58287,335,14574,9470,155023,84300
5481,307,50900,53293,4980,2028,55516,208,12702,5626,166434,79636
5482,318,51326,51932,3725,1568,57942,201,15085,8826,164129,78026
5483,188,51576,56051,2149,938,56479,126,13813,9770,192492,90518
5485,342,57092,58060,2432,2292,60723,244,15094,10160,146295,73544
5490,92,53853,50188,3008,4921,59827,69,12937,7628,137631,70293
5491,1126,65485,55995,1926,419,70412,848,18654,9835,185093,81927
5495,282,55010,56703,3425,3661,57624,196,14120,10528,142190,79500
5501,5204,60698,60618,1650,984,63329,4127,14949,10046,115999,63286
5502,1002,59702,58681,5148,1606,62968,770,14889,9464,103543,30155
5510,57,57800,49232,4718,876,64235,48,11175,6139,106299,67961
5520,272,48770,47425,6839,1718,52650,177,12305,7345,142785,58653
5521,69,73032,49189,-972,-2510,91634,54,20403,10456,161360,56815
5522,767,60489,54846,6053,3361,64829,534,17582,8934,207310,99670
5523,1048,62385,62843,1679,1298,67405,767,17761,11388,199100,87773
5540,7723,55713,58404,1844,960,58057,5780,13509,9171,135441,58922
5550,545,48602,48010,3869,2812,52831,400,10237,7383,82257,30282
5552,198,55823,44146,7052,697,67095,133,16416,10201,131269,40781
5554,3048,54710,52605,4010,1796,57620,2268,13140,7918,141008,61309
5555,312,57087,49192,7845,3608,62755,238,13370,7765,198915,87365
5556,2161,51849,53501,4931,1855,54646,1470,13759,7934,180270,77076
5558,2558,55360,54077,2793,1812,58268,1750,15492,8062,175472,84464
5560,230,56049,46274,6045,5218,66646,158,16975,9849,317107,79491
5570,249,51151,49238,8766,4038,56046,160,14189,8142,115502,68045
5571,984,55990,51488,5198,3280,60814,687,14973,9540,211183,90676
5572,83,65449,49799,14732,468,78486,72,13688,9636,111211,51634
5573,1179,62209,49200,7671,1575,67787,831,17867,11072,190299,74209
5575,1309,51611,49332,5760,2923,55536,891,13651,7918,181668,77696
5576,628,51831,50416,3107,2119,58257,447,12896,7304,191469,74360
5577,316,44362,45147,3926,3381,48326,192,12952,7089,144524,52582
5580,226,61182,43719,2350,2617,71178,151,18996,8602,207708,91942
5581,289,51848,48786,2634,1496,55699,191,13441,9151,237463,123468
5582,294,53493,54958,4005,648,56910,197,14457,7409,189479,104990
5583,372,46653,45170,8783,3070,48820,233,11879,5999,163620,76004
5600,3659,74234,76634,828,61,76608,2999,20469,14659,196647,100066
5601,61,55490,59540,4802,4228,58950,45,14623,12885,169219,94839
5602,755,52508,55337,1943,1692,56749,535,13755,8518,168251,82112
5603,259,50196,49428,2208,337,59406,174,13393,7618,133689,73872
5604,133,61876,58749,-971,364,65592,98,16104,9897,216264,95327
5605,1121,54179,53513,5242,2473,60262,787,14142,9039,221383,93397
5606,8936,59425,53902,3767,1864,62534,6865,15081,8742,155621,63494
5607,2754,57615,54707,3631,1812,61766,2021,15400,9620,171032,76631
5608,6268,59674,62991,-9,183,61365,4751,15263,10572,121002,46941
5609,1162,73735,76979,-1137,1,76053,983,19269,14995,150592,75384
5630,84,60582,51055,2050,3954,63868,66,14389,11804,115239,70687
5631,754,70722,53654,519,611,77056,583,21059,11679,242540,80301
5632,146,58406,44703,963,170,68621,115,22554,15132,144074,52509
5633,188,43105,42265,-693,102,53383,122,12565,9550,158512,49625
5640,655,53335,52673,3249,964,61879,470,13893,8936,227728,86080
5641,627,49597,49786,1913,41,57263,424,14004,8615,179603,63374
5642,135,40921,34479,-1366,1420,51422,90,9101,4606,191136,45950
5650,97,57033,33727,2221,1687,69211,66,16543,13048,187613,54214
5651,76,58678,41984,5392,1980,65862,57,15831,6962,207980,69140
5652,425,59503,51241,1119,-29,64288,296,16770,11717,192170,79719
5654,119,47763,47350,6492,6904,52755,82,11365,6615,139288,64692
5655,62,40942,39811,28,-551,46941,39,10545,5064,98297,61483
5661,86,66909,45982,4656,4526,72382,68,16787,8140,128881,81547
5670,281,53696,46650,2487,2988,57965,212,12135,8001,162868,70091
5671,119,62881,36871,4954,3595,71926,80,21062,7366,220161,74516
5680,1424,55618,49104,3115,2189,59373,1010,14429,8492,165000,71233
5690,2188,60459,55533,3315,2025,64167,1685,15034,10316,126786,49582
5700,5806,60461,60762,1396,251,62882,4474,15181,9994,135934,53878
5701,52,53203,52316,3710,2279,58745,37,12638,10164,132501,51811
5710,1354,67490,69768,1139,839,70447,1116,17095,12674,159681,89509
5720,132,73423,71944,1260,1015,76555,119,16511,12771,138691,80289
5722,168,65258,71194,2018,1911,67062,120,18734,10662,105218,46972
5723,843,53629,51140,5098,2326,55754,602,12019,7606,74887,21630
5724,88,55871,49804,5058,3004,58268,65,13109,7626,60301,15769
5725,2396,108719,105580,-577,-137,112083,2113,32851,27184,136875,71811
5730,61,44344,34787,6387,7094,50020,43,7936,4482,112919,42960
5731,99,54921,54533,1363,586,56698,77,11287,7083,115111,59579
5732,69,41341,36862,2032,-1141,45215,43,7381,4487,50555,25765
5733,69,73786,52091,378,-583,75971,54,19833,8813,130453,46813
5734,64,61016,55214,2436,-271,66238,51,14911,7269,101906,20009
6000,11248,81007,79149,2047,764,83931,8784,27009,13114,101767,20751
6003,3086,78796,73296,932,612,81925,2576,23089,12664,111403,29330
6004,8705,86481,84027,1386,568,90081,7080,27636,15030,149752,32859
6005,4637,95159,87076,2692,948,98971,3865,30947,15638,155689,38728
6006,6296,95989,89090,2612,1053,99669,5248,30994,17956,186059,75527
6007,5579,111115,98550,2388,1518,115594,4652,38929,19719,221633,79482
6008,10664,114658,99473,3280,1800,119490,8290,44589,21986,322270,98041
6009,11965,175737,105357,5565,3574,183905,8880,85962,23492,489536,111551
6010,12378,139640,106290,4831,2428,146813,9520,60146,22385,415772,124107
6011,6704,295283,122912,5763,3631,346919,5372,146580,27739,604116,141993
6012,5967,146186,99953,4155,1959,152959,4628,63851,20081,420512,95358
6014,14860,110296,97634,2939,1227,114836,11564,42205,18982,278061,104172
6015,4934,176423,123525,6271,3349,184609,3851,79188,28898,498462,175431
6016,6924,93057,88181,2458,782,96469,5695,29980,16917,178636,77905
6017,3313,67427,67118,1268,15,69927,2730,16956,11701,82701,29597
6018,27517,90591,88218,2091,1004,94155,21835,30192,17896,196722,85152
6019,16830,93878,89329,1839,607,97587,13725,30850,18087,183407,74663
6020,14811,99914,88446,2769,1287,104046,11201,37648,19276,300700,137905
6021,13449,77167,74774,3936,1895,80222,10610,23477,13985,147948,64760
6022,3319,68697,73598,1739,650,71371,2530,19696,14256,158863,82305
6023,10183,82703,83186,1905,806,86024,7734,27573,17654,232668,113073
6024,8743,69003,73787,991,147,71490,6706,19772,14012,153686,83854
6025,20730,81610,79980,1191,481,84791,16230,25928,15589,184530,85201
6026,14833,74084,76809,757,-18,76766,11358,22538,14809,185585,96200
6027,28303,74371,74798,263,-72,77216,22218,22054,13811,148958,69936
6028,16102,82845,81923,-698,-714,85838,12760,26127,15455,152426,73588
6029,2103,118825,95018,3029,2321,124246,1661,46303,22056,341731,134383
6030,25778,70749,71681,-766,-690,73240,20250,20106,12503,105988,47454
6031,11996,68293,70618,-1162,-1208,70673,9703,18042,12582,87566,45924
6032,170,66372,53647,10653,1776,69939,130,19155,10591,155291,49487
6033,358,67504,60303,1948,1050,72394,275,20060,10725,163860,42490
6034,2673,70015,73156,-1436,-991,72447,2211,18053,13145,65696,38422
6035,6576,69458,73297,-368,-739,71855,5051,19999,13519,97021,48308
6036,11250,70412,72668,-2142,-1565,72805,8979,19421,12642,87839,41130
6037,2306,69762,76571,756,240,72298,1730,20924,13911,112733,54864
6038,7022,71702,74746,-1603,-1224,74189,5764,19149,13800,73210,40415
6041,926,65215,71175,1751,208,67523,644,20825,13995,132284,60382
6042,51,44932,40493,7251,5724,46503,19,24572,12478,219745,69671
6043,159,64550,69146,1477,1872,68811,101,19909,12894,245286,83601
6044,802,65821,66032,2508,1691,69057,587,20043,11439,144945,53963
6050,10737,109522,90073,3993,1742,114448,8446,41334,18836,266552,89054
6051,9378,77648,75894,1289,495,80333,7703,22351,13510,132750,49599
6052,7563,85311,84108,1048,305,88453,6125,26555,16382,175804,89879
6053,9953,79284,80073,649,186,82084,8061,23352,16077,155538,80625
6054,12695,69784,70535,1197,431,72054,10062,19398,12842,130544,63718
6055,21680,73177,74049,621,-518,75850,17819,19999,13948,102031,49669
6056,25765,68083,69394,1603,86,70522,20182,18889,12446,120854,55920
6057,10563,71745,72796,624,-109,74108,8446,20113,13407,136667,67381
6058,8450,67778,70780,441,-33,69936,6716,18248,12450,107896,58592
6059,15472,74345,71398,2627,1041,77356,11864,23054,13487,172549,65430
6060,16993,73402,73816,1880,576,76169,13744,20434,13667,126442,50665
6061,24658,56471,59238,746,245,58662,19149,13151,9403,62709,23902
6062,21577,63457,66371,2370,1081,65780,16507,17126,11523,126238,51831
6063,9217,58566,61524,-573,-579,60521,7108,14524,10103,85605,38522
6064,17663,55697,57936,515,62,57570,13464,13232,9269,81807,35400
6065,43282,70896,72334,-529,-772,73398,34604,19622,13413,111005,57688
6066,11408,59993,62465,909,14,62124,8901,14928,10236,107955,47411
6067,57,70253,72838,-5180,-1149,72437,47,17920,18631,123868,64005
6069,29287,71616,73294,-1244,-1096,74090,23630,19616,13512,101880,50829
6070,2385,92008,86503,2686,720,95778,1821,32541,18632,214400,117193
6071,2336,78889,76636,588,150,81954,1785,25449,15548,202412,97018
6072,560,75541,76747,422,246,78273,441,22071,16515,162483,83347
6073,2036,71514,75334,115,54,74398,1471,23115,14092,189070,97934
6074,650,70331,76431,827,1216,72751,488,20963,14476,165054,88006
6076,14045,79074,79114,2415,1002,82019,10479,26219,15686,213693,102526
6077,951,72679,62267,3765,2490,75821,696,23729,12165,205017,76997
6078,552,82324,74263,4831,1523,85456,416,28633,14411,163724,64477
6081,3206,78518,79601,1184,16,81427,2471,24032,16113,169600,94575
6082,2083,73583,76747,418,-134,76345,1593,22403,15565,160035,87224
6083,2447,86615,82090,1875,22,89807,1873,30025,16189,189077,93333
6084,5915,76246,76357,376,-322,79223,4663,22855,14664,132708,66225
6090,132,98465,75713,8467,4308,102593,112,31203,17497,195069,57907
6100,11173,81499,78857,1452,372,84613,9018,24964,14310,149299,53093
6101,11512,78446,78011,1335,276,81092,9360,22593,14700,128918,54265
6102,9181,56469,58524,811,279,58693,6741,14583,9445,74598,14994
6103,7650,71989,74541,331,-30,74515,6285,19413,13189,100860,38440
6104,9865,71453,73177,908,78,74055,7816,20214,13057,119582,46704
6105,10657,64265,67409,386,131,66601,8340,16928,11785,88477,34546
6106,147,83522,63611,7481,6780,89274,118,26488,13223,144368,41917
6107,31070,60169,63389,95,-118,62323,23897,15385,10382,80973,27554
6108,14248,59002,63423,-74,-296,61014,10641,15388,10933,106470,48236
6109,7753,57964,61020,2409,657,60137,5897,14415,9861,79524,30262
6110,26678,62805,65705,-817,-582,64896,20688,16470,11262,92693,42963
6111,14258,66506,67882,1147,5,68843,10807,18999,12105,129271,59043
6112,43374,67790,70288,-974,-924,70179,34512,18206,12837,89655,44928
6121,2077,80418,74812,923,-274,83484,1640,25138,14769,172865,81020
6122,13988,74365,74161,-498,-426,77004,11365,20875,14124,100704,53796
6123,1486,68573,71785,-473,-99,71548,1168,19020,13042,114094,49681
6124,770,74333,78178,1912,654,76932,591,22474,16145,150291,69954
6125,2139,75933,76145,2264,433,79150,1678,22804,14287,164538,73309
6126,154,66011,72579,5494,6390,70491,105,22064,13898,164272,69080
6147,9458,57609,62210,-360,266,59644,7058,14765,10349,98211,41537
6148,11923,79381,76347,2223,660,82723,8744,27705,14379,206143,76651
6149,12245,76487,80234,1268,580,79366,9015,25482,15489,217329,100397
6150,8646,73110,77789,3479,2242,76153,6020,25458,14834,232415,90449
6151,11608,106327,91042,3961,2034,111256,9103,40221,18085,312434,90665
6152,17156,85732,82606,2474,1178,89261,13174,29082,16091,210762,73206
6153,15023,114570,94980,2874,1658,119772,11457,46246,20130,387145,112028
6154,6807,90612,84523,2699,1376,93874,5089,33235,16761,224216,97406
6155,34122,69926,73331,-144,-230,72482,25564,21332,13722,138974,57776
6156,11651,97128,87693,2061,827,100779,9178,34323,17364,234316,96855
6157,9189,87974,82490,2976,1198,91517,7274,28912,16684,215814,97595
6158,5216,111493,94067,4897,2566,115916,4074,42931,20840,298663,121937
6159,2837,122793,94262,6052,3323,129779,2194,49645,21112,445709,121287
6160,6609,85086,79506,4225,2714,88830,5259,27653,14448,206427,62393
6161,109,60141,61740,-179,992,61903,90,14373,10476,69760,25691
6162,7865,87468,78796,4637,2186,90998,6148,28908,15180,193105,79640
6163,35310,71461,71764,1831,678,74099,27599,20668,13219,140865,61746
6164,44124,74075,75388,-604,-801,76627,36049,20507,14340,113351,56706
6165,122,67027,74798,5220,324,74065,97,18779,12330,94305,36529
6166,7074,80949,78895,2587,422,84089,5678,24556,15667,168049,78314
6167,16822,65082,67455,-784,-652,67344,13255,17064,12209,88806,43224
6168,13874,64743,68150,726,-56,67201,10568,17626,11936,126806,54895
6169,21142,68013,71731,130,-60,70403,16059,19454,13120,138585,61067
6170,11270,68563,71490,-1095,-927,70937,9146,17897,13135,80159,40582
6171,23832,75453,78377,-1244,-929,78118,19282,21361,15422,105349,53311
6172,8239,69144,71968,-1409,-812,71547,6462,19170,13589,116388,52192
6173,8019,82024,83724,-1566,-1022,84891,6510,24501,17107,134287,65084
6174,3731,73348,75594,-1206,-1189,75929,2981,20641,15094,102211,47435
6175,2535,78270,79737,-125,-333,81195,2053,22627,15777,137387,68583
6176,1353,74121,73520,1969,-301,76929,1072,21639,14328,116764,48569
6180,4135,70772,74192,-1670,-745,73222,3169,20632,14665,100689,48560
6181,314,82698,80517,-690,-471,85591,241,26936,20766,162296,87601
6207,827,79092,81637,949,-194,82125,629,25482,19636,146137,75794
6208,7285,69587,74956,1415,26,72264,5317,21549,14401,146889,62664
6209,1089,70734,69491,722,261,72992,801,22536,12696,144442,54788
6210,44339,70512,72885,1361,81,73211,32134,22487,13000,156850,62677
6211,5002,73296,77403,1843,632,75895,3608,24338,15109,156145,67638
6213,421,65445,68288,1854,-439,67696,299,20014,14816,169174,73731
6214,474,70649,75901,12,-234,74576,345,22728,14352,176030,70960
6215,2460,69956,74428,1576,390,72507,1787,21946,14249,160997,71644
6218,322,57866,61075,867,1454,60162,229,15991,9846,103132,33599
6219,171,60384,66542,1598,3741,62295,118,19301,12531,118045,31809
6220,3006,63907,66872,4046,2432,67231,2296,17412,12030,141058,48998
6221,186,60695,62475,3170,1058,63270,132,17608,10066,175753,55230
6223,138,66468,80065,1618,877,68762,104,20390,10860,141032,46658
6224,754,64326,66980,3427,2001,67007,545,19258,12533,148169,54801
6225,5069,65475,70044,1551,549,67791,3654,19623,13613,161430,67548
6226,631,79023,80504,1002,-273,81786,490,24618,19232,184017,90563
6227,493,74297,76570,2328,1074,77186,392,21455,15231,147924,87117
6228,104,59965,56721,4762,1928,63409,81,14131,9510,265974,64351
6229,120,63644,54418,6312,-452,66765,84,20674,9679,157689,59374
6230,27274,68899,68162,2160,659,71553,20925,20035,12297,146729,58528
6232,6917,67734,70290,1168,387,70095,5381,18729,12747,122594,63367
6233,12807,72936,75295,1091,440,75655,9948,21533,14660,153293,73614
6236,1492,73547,73949,3694,1567,77374,1153,22043,14026,198763,95078
6237,1695,70405,71247,3726,746,74548,1300,20765,13182,173457,87945
