Postcode,Number of individuals lodging an income tax return,Average taxable income or loss,Average salary or wages,Average net rent,Median net rent,Average total income or loss,Count net tax,Average net tax,Median net tax,Average super total accounts balance,Median super total accounts balance
4465,746,54631,54018,1343,1343,63206,516,15983,7874,135574,49289
4467,107,45552,55258,3929,4254,68694,71,13163,7696,101611,34298
4468,218,50892,39749,-779,200,66690,135,15807,7077,85295,38724
4470,2032,58027,57861,2345,1202,62064,1550,14302,9842,128413,52640
4472,817,58846,56960,1242,312,68426,584,16723,10096,152031,64150
4477,270,55576,51201,2715,1295,64855,187,17297,10137,117485,66044
4478,303,65341,52336,3957,1925,75158,214,20338,11851,142825,70762
4480,489,55461,58004,707,587,62010,365,14257,10796,127843,69101
4481,80,68874,58840,2325,160,72839,61,19211,10610,124091,66251
4482,77,64811,64442,-2810,-646,67632,71,12226,8597,91309,26860
4486,405,51838,57961,3220,1118,76727,272,16538,10435,112201,41261
4487,1876,57663,58718,1426,1015,64974,1397,16227,9914,137828,46494
4488,118,63433,45649,3204,4489,69770,88,19023,5296,99173,57209
4490,701,51543,53055,3839,2652,56380,486,12940,9411,111009,39812
4491,52,42661,47093,1352,-2772,53968,30,12445,7257,134738,49433
4492,167,66814,61928,2687,2582,69966,138,15558,10405,122757,78373
4494,90,35532,49669,5505,3224,59700,64,7969,5621,87943,41488
4496,172,56624,61422,4288,764,68122,127,14749,12239,155136,58454
4497,212,68644,51709,2113,2442,86326,153,20309,9132,176510,47436
4498,122,33165,49284,-1302,-1045,54013,84,10392,7187,97097,64256
4500,28380,64243,65304,787,92,66750,22526,16537,11521,145409,70642
4501,3784,57977,60246,1983,505,60071,3003,13290,10099,111224,53157
4502,5290,61476,64034,358,310,63888,4166,15275,11096,148120,72448
4503,32390,59947,62061,925,43,62315,25676,14475,10396,112791,48305
4504,13071,64629,66258,218,-32,67362,10444,16586,12159,128556,67194
4505,16004,61393,63212,1395,605,64043,12498,15567,10705,125980,58011
4506,14982,54543,55600,2468,376,56954,11358,12992,8635,97712,36316
4507,10617,55358,59767,4455,2018,58154,6759,17434,9195,223379,103714
4508,10388,52346,54912,1882,730,54550,7703,11995,8461,92796,40990
4509,23381,67728,68956,-544,-384,70339,18619,18179,12315,110544,50010
4510,31132,52589,55173,2370,889,55060,22753,12617,8573,100601,40376
4511,5383,54733,59275,1912,405,57267,3758,14582,9328,138673,68077
4512,2295,63185,63637,4510,2382,66210,1717,17978,11237,148278,68785
4514,4434,57641,61239,4017,1865,60754,3239,15411,10089,132413,64124
4515,2780,56678,60547,2357,1249,60685,2078,14672,9671,123141,39516
4516,2862,62852,65237,1295,625,65970,2214,16684,10880,146316,74677
4517,539,62439,65439,3000,410,65413,410,16567,11562,137684,75378
4518,3534,60099,62790,3639,1486,63166,2677,15668,9949,146634,70369
4519,5680,57424,59927,2892,1132,60281,4207,15173,9244,133055,61585
4520,9137,92668,87570,3036,1516,96872,6921,33603,18136,282540,143402
4521,3358,73619,75166,2723,1206,77014,2581,22509,13948,226761,111210
4550,3094,58930,57247,3713,2254,61401,2342,15330,9131,128041,56341
4551,42358,62775,63113,2942,1481,65847,31541,17685,10079,178515,71127
4552,5504,57727,59848,6218,3926,61185,3440,19977,9423,255648,92960
4553,7762,66161,65049,2258,909,69281,6275,17215,10877,117621,51372
4554,1284,60608,56968,4051,3135,64391,947,16813,9238,159947,61910
4555,5199,64625,62480,2928,1345,67846,3942,18194,10257,162713,69880
4556,29684,69648,65362,3109,1533,73025,22036,21764,10846,193998,72119
4557,13222,67291,63881,4426,2214,70720,10185,19288,10450,179557,61863
4558,15147,61871,59510,4583,2304,65976,11286,17328,9095,179737,52555
4559,4622,63126,61495,3994,2158,66334,3496,17363,10354,146369,67629
4560,22238,57590,58049,3760,1628,60284,16319,15288,8980,150216,61772
4561,5966,64007,61899,4683,2456,67245,4530,17878,10084,161879,65593
4562,5993,66364,62539,5505,3590,70056,4277,21259,10127,195880,72783
4563,6139,61044,59210,6097,3080,64781,4280,18862,8920,217874,77181
4564,7510,62944,61322,4272,2664,66005,5453,18603,9667,197913,77454
4565,9046,56848,55963,4835,2838,59626,6366,16108,8025,170488,67802
4566,5801,79268,65090,10098,4400,83309,3936,31206,10754,355391,105144
4567,8248,88732,67854,7791,4846,93675,6048,33949,11307,347100,84233
4568,2382,55706,58292,3865,1919,58358,1670,15412,8383,156439,76935
4569,1087,52300,54984,4467,2176,54903,734,14743,7930,141053,60010
4570,25886,51319,54710,3393,1862,53973,17852,13874,8069,129490,53057
4571,516,49857,51719,5253,3295,52138,347,13537,6724,137140,60264
4572,2948,81023,71631,4567,2456,85881,2226,27949,11228,257867,76194
4573,20010,72353,66447,4391,2375,75941,14944,23108,11033,188096,74410
4574,871,53596,55056,2425,3120,56784,597,15258,6458,148600,58877
4575,18312,74760,69069,4512,2310,78731,13831,23910,11995,216607,76423
4580,2355,45376,49444,4719,2960,47607,1362,13084,6620,154523,66745
4581,796,53005,50342,7550,4775,55724,551,14128,7503,193215,75827
4600,462,43413,56863,3111,1394,48715,279,13137,8399,115801,56717
4601,648,47287,51593,4229,2329,52419,373,17475,7266,115475,46914
4605,2212,46702,50304,2592,1347,49470,1445,11986,6927,121265,44882
4606,1305,46320,54642,2509,915,48909,880,11889,7875,123729,55370
4608,523,47736,50609,2366,2613,52458,330,12927,8951,143955,65435
4610,8474,52756,58339,2437,1375,55758,5977,13811,8343,137430,53332
4611,80,27461,38730,10432,-2230,30742,37,10061,4423,101032,40886
4612,166,34883,51587,2111,1818,39645,86,10777,7261,103106,52566
4613,369,38872,47994,2544,1571,42973,210,10387,5655,105150,43078
4614,527,44165,51903,2664,2313,46870,323,11467,7466,104085,48118
4615,3372,48916,55966,2252,1918,51483,2209,13053,7342,129808,56382
4620,246,40337,49686,6731,2618,45938,155,9935,6687,127138,58359
4621,910,43664,51547,2299,1416,47474,527,12222,7290,110696,44678
4625,1589,48648,47356,3914,1405,51657,1099,11767,6381,119530,48139
4626,1461,44100,46908,3203,2205,50274,965,13559,6686,105931,17383
4627,401,44504,49471,2577,2292,51107,247,11510,7347,124459,46832
4630,1362,44293,54012,2435,1003,47938,875,12056,7944,129701,59723
4650,17345,50403,54190,2827,1255,52514,12013,12503,8391,146539,65979
4655,34815,55127,57162,3557,1780,57598,24135,15199,8595,152421,66463
4659,2510,45702,50443,3131,2285,47889,1536,12646,6583,163988,80817
4660,4339,48518,52944,2528,1423,51242,2759,13825,7932,146298,62932
4662,395,47705,51979,3198,2319,49755,260,12038,7652,101477,44531
4670,46766,56632,57012,2891,1380,59258,33831,15366,8785,146865,58611
4671,3335,43922,51554,2610,1289,46612,1972,12237,6951,108098,41768
4673,389,47060,53969,4969,1970,50873,251,12473,7344,107150,64058
4674,842,47379,54955,3241,1445,50005,515,14501,7337,126919,59708
4676,95,66394,59836,2740,737,73196,55,28914,10610,190828,57324
4677,2598,58525,59925,3183,1068,61400,1732,18681,8976,158331,69686
4678,480,59964,73580,2095,1164,63413,313,19822,14495,180445,93737
4680,32760,74353,78383,-1430,-879,76984,25569,22006,15885,164694,74925
4694,106,61825,74445,-640,122,64991,73,19399,13448,164265,72088
4695,645,64686,77056,-2465,-534,67299,461,19881,16494,158294,86320
4697,82,59179,69111,-372,-1911,61645,57,17632,14168,158787,93441
4699,271,66245,66028,964,1002,69809,204,20188,10213,130406,79698
4700,9641,71678,69362,1807,930,74674,7549,21032,12287,168730,64100
4701,25561,64927,66682,1470,270,67370,20139,17152,11414,154398,65835
4702,17028,65254,69926,2236,639,69338,13018,18897,12604,145444,68915
4703,15258,73604,74900,2391,954,76618,11723,22469,13938,199730,89697
4704,86,76540,75281,1914,3160,79411,68,22155,13289,150497,75963
4705,254,40734,53580,10063,77,53323,181,19058,9809,134306,53863
4707,108,157308,70831,-558,-731,163336,86,71052,11729,132624,64436
4709,438,91644,95770,-1467,-464,95746,360,28889,22389,128878,59457
4710,2924,64187,67686,874,570,67619,2156,18682,11471,182944,81177
4711,1122,76467,77987,436,1096,79653,902,22201,16024,230185,123610
4712,204,63029,63518,4189,1236,71046,152,22357,11684,200433,59201
4713,291,47534,42550,5820,5820,48332,207,9857,5702,42096,7406
4714,1267,52057,57541,1598,26,54018,867,13683,8539,103129,41628
4715,4166,68932,74910,1501,342,72380,3222,20288,13015,159876,65263
4716,522,55329,69080,1640,1434,59208,359,15833,9674,144786,70286
4717,2700,91760,94014,-708,-216,95460,2239,28304,23486,135554,66480
4718,1341,75528,78615,973,257,80347,1017,23998,15640,153521,64686
4719,622,61677,62986,4669,1335,71855,461,17589,12162,174225,65936
4720,9479,78859,78642,156,-74,82392,7706,23216,15459,134208,54467
4721,2188,73207,76095,1386,716,79918,1699,23707,15766,166422,74953
4722,1057,69633,71204,3099,919,80518,810,21247,13818,173203,78334
4723,873,66449,74653,2619,1065,75086,640,21214,13352,132821,64203
4724,391,61140,53955,8531,1064,73670,289,17335,9642,145406,71224
4725,876,62924,62791,2172,1063,68184,678,17487,11404,171959,76694
4726,244,48691,49829,2360,1995,54131,165,12492,7744,142657,42549
4727,177,32865,57838,1365,1908,39891,111,15535,10270,137918,73778
4728,123,28889,53525,2298,1038,42943,82,23728,8046,108492,45237
4730,1918,62056,63780,1414,1170,68526,1546,16836,11172,154797,62213
4731,102,40386,61359,1212,462,46736,67,13982,11990,107253,61431
4732,85,30307,48751,727,1637,44994,50,10819,6090,115211,62969
4735,701,60222,61773,2717,2010,64796,533,16283,10782,151734,66733
4736,90,75316,72114,60433,4090,81207,73,25091,12306,132819,61329
4737,5176,72659,76593,163,0,75793,4022,21270,14688,169969,80965
4738,720,65789,73792,474,373,69318,522,20075,14289,165360,93139
4739,216,52157,54347,-2271,-1978,55682,156,12570,7779,124016,68369
4740,54625,76187,76550,855,54,79353,44286,21831,14373,162532,72057
4741,4303,71272,76718,2581,963,75254,3268,21476,14136,186492,96569
4742,600,82950,81747,109,168,89996,480,25174,17514,149741,68845
4743,237,91565,97052,-3451,-2494,99043,205,26946,21377,128011,72784
4744,5011,103819,103625,-1322,-634,107273,4318,32761,26033,150063,72798
4745,1462,95405,94526,-1705,-344,99664,1227,29765,24167,147387,71869
4746,845,97042,101992,-805,83,103149,726,29711,24736,150616,77954
4750,3637,72936,74516,1207,674,75688,2934,20222,14355,151497,74057
4751,2960,76640,79118,1256,365,80146,2414,21731,15729,175786,94227
4753,2869,79698,84052,-441,-248,83134,2375,22788,16445,155523,83627
4754,1468,71178,78046,42,22,74767,1145,20619,15134,148473,85653
4756,391,57452,64875,925,0,60782,284,15833,9819,128042,62797
4757,198,56267,69913,4722,2806,59373,124,19704,13158,172829,97486
4798,471,61732,68561,4103,1579,64340,344,17820,10672,166207,88257
4799,683,57735,64406,665,1552,61215,453,18089,9846,145012,64485
4800,6377,65461,65197,1962,728,69263,4833,18236,10751,158407,77469
